Date ,Problems Found (if any) ,Advice/ solution given
19.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
19.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
19.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
19.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
19.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
20.01.2025,Land Preparation,Suggested to plough land properly and sow seed as fast as possible
21.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
21.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
21.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
21.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
21.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
21.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
21.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
21.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
21.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
21.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
21.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
21.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
21.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
21.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
21.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
22.01.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord@2ml/L water
22.01.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord@2ml/L water
26.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
26.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
26.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
27.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
27.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
27.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
27.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
27.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
27.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
27.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
27.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
27.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
27.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
27.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
27.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
27.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
27.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
27.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
27.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
02.02.2025,Drying of young leaves of Maize,Suggested to irrigate land and apply Boron fertilizer
02.02.2025,Leaf Curl of Chilli,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid
03.02.2025,Lack of oxygen in fish pond,Suggested to apply Oxychlore and Geolight immediately
04.02.2025,Aphid attack on Yard Long Bean,Suggested to apply Ash and Yellow stciky Trap
04.02.2025,Insect attack on Mungbean leaves,Suggested to Apply Ripcord@2ml/L
05.02.2025,Gummy Stem Blight of Cucumber,Suggested to apply Solubor Bororn and Copper Oxichloride
05.02.2025,Leaf Curl of Tomato,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid
05.02.2025,Leaf Curl Chilli,Spray soap water or neem seed soaked water and also suggested to apply Abamactin
05.02.2025,Wilt of brinjal,Affected plant should be destroy and spray copper oxycloride + carbendazim fungicide.
05.02.2025,Leaf Curl of Tomato,Spray soap water or neem seed soaked water and also suggested to apply Imidacloprid
05.02.2025,Wilt of chilli,Affected plant should be destroy and spray Mancozeb + carbendazim fungicide.
05.02.2025,Drying of young leaves of Cucumber,Suggested to irrigate land and apply Boron fertilizer
05.02.2025,Leaf Curl of Tomato,Spray soap water or neem seed soaked water and also suggested to apply Imidacloprid
05.02.2025,Wilt of brinjal,Affected plant should be destroy and spray copper oxycloride + carbendazim fungicide.
05.02.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord@2ml/L water
06.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
10.02.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord@2ml/L water
10.02.2025,Sunflower cultivation,"Suggested to apply 2nd basal dose of Urea fertilizer,Irrigation and Fungicide"
10.02.2025,Sunflower cultivation,"Suggested to apply 2nd basal dose of Urea fertilizer,Irrigation and Fungicide"
10.02.2025,Sunflower cultivation,"Suggested to apply 2nd basal dose of Urea fertilizer,Irrigation and Fungicide"
10.02.2025,Sunflower cultivation,"Suggested to apply 2nd basal dose of Urea fertilizer,Irrigation and Fungicide"
10.02.2025,Sunflower cultivation,"Suggested to apply 2nd basal dose of Urea fertilizer,Irrigation and Fungicide"
10.02.2025,Sunflower cultivation,"Suggested to apply 2nd basal dose of Urea fertilizer,Irrigation and Fungicide"
10.02.2025,Sunflower cultivation,"Suggested to apply 2nd basal dose of Urea fertilizer,Irrigation and Fungicide"
10.02.2025,Sunflower cultivation,"Suggested to apply 2nd basal dose of Urea fertilizer,Irrigation and Fungicide"
10.02.2025,Sunflower cultivation,"Suggested to apply 2nd basal dose of Urea fertilizer,Irrigation and Fungicide"
10.02.2025,Sunflower cultivation,"Suggested to apply 2nd basal dose of Urea fertilizer,Irrigation and Fungicide"
10.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
10.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
13.02.2025,Attack Of Cabbage betterfly on Cauliflower,Suggested to apply Cypermethrin/Lamdacyhalothrin
16.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
16.02.2025,Leaf Curl of Chilli,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid
16.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora and Solubor Boron"
16.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora and Solubor Boron"
16.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora and Solubor Boron"
16.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora and Solubor Boron"
16.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora and Solubor Boron"
16.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora and Solubor Boron"
16.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora and Solubor Boron"
16.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora and Solubor Boron"
16.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora and Solubor Boron"
16.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora and Solubor Boron"
17.02.2025,Yellowing of Cucumber Leaves,Suggested to irrigate land and apply Boron fertilizer
17.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
17.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
18.02.2025,Cucumber cultivation Related issues,Irrigated the cucumber field judiciously
18.02.2025,Vegetables cultivation,Suggested to plough land properly and sow seed as fast as possible
18.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
18.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
18.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
18.02.2025,Fruit fly Attack on Cucumbefr,Suggested to use Pheromone Trap and if attack is high apply Cypermethrin
18.02.2025,Leaf curling of Bitter gourd,Suggested to use yellow sticky trap and if severe attack apply Imidachloropid
18.02.2025,Fruit fly Attack on Cucumbefr,Suggested to use Pheromone Trap and if attack is high apply Cypermethrin
18.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
18.02.2025,Fruit fly Attack on Cucumbefr,Suggested to use Pheromone Trap and if attack is high apply Cypermethrin
19.02.2025,Root Rot Of Sunflower,Suggested to Spray Mancer @ 2gm/L water
19.02.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord@2ml/L water
20.02.2025,Leaf Curl of Chilli,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid
20.02.2025,Leaf Curl of Chilli,Spray soap water or neem seed soaked water and also suggested to aply Imidacloprid
20.02.2025,Root Rot Of Sunflower,Suggested to Spray Mancer @ 2gm/L water
20.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
20.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
20.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
20.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
20.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
20.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
20.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
20.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
20.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
20.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
20.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
26.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
26.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
26.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
26.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
26.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
26.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
26.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
26.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
26.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
26.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
26.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
26.02.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
26.02.2025,Fruit fly Attack on Cucumber,Suggested to use Pheromone Trap and if attack is high apply Cypermethrin
02.03.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
03.03.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
03.03.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
03.03.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
03.03.2025,Cucumber cultivation Related issues,Suggested to apply judicious irrigation
03.03.2025,Sunflower cultivation,Suggested to apply Irrigation and Flora
04.03.2025,Sunflower cultivation,Suggested to apply Irrigation and Flora
04.03.2025,Fruit fly Attack on Cucumber,Suggested to use Pheromone Trap and if attack is high apply Cypermethrin
04.03.2025,Watermelon growth not satisfactory,Suggested to apply Irrigation and Flora
04.03.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
04.03.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
04.03.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora"
06.03.2025,Root Rot Of Sunflower,Suggested to apply Mancer @2gm/L in the morning
06.03.2025,Sunflower cultivation,Suggested to apply Irrigation and Flora
06.03.2025,Sunflower cultivation,Suggested to apply Irrigation and Flora
09.03.2025,Ground nut cultivation related,Suggested to weeding the field and apply irrigation
09.03.2025,Root Rot Of Sunflower,Suggested to apply Mancer @2gm/L in the morning
09.03.2025,Yellow stem borer attack on Rice,Suggested to apply Cartap+Fipronil @ 2ml/L at afternoon
11.03.2025,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed
11.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
11.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
12.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
12.03.2025,Vegetables cultivation,3-4 proper ploughing with Tricoderma and after this prepare bed
13.03.2025,Vegetables cultivation,3-4 proper ploughing with Tricoderma and after this prepare bed
13.03.2025,Fruit fly attack on Bottle gourd,Suggested to use Pheromone Trap and if attack is severe apply Cypermethrin
13.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
13.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
13.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
13.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
13.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
13.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
13.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
13.03.2025,Maize Cultivation,Suggested to apply Urea and Irrigation
13.03.2025,Yellowing of Mungbean Planst,Suggested to apply Urea and Irrigation
13.03.2025,Spices Cultivation,Supply proper irrigation to the plants
13.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
16.03.2025,Aging of Cucumber plants,Supply proper irrigation to the plants
16.03.2025,Aging of Cucumber plants,Supply proper irrigation to the plants
16.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
16.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
16.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
16.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
16.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
16.03.2025,Fruit fly attack on Bottle gourd,Suggested to use Pheromone Trap and if attack is severe apply Cypermethrin
16.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
16.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
17..03.2025,Vegetables cultivation,3-4 proper ploughing with Tricoderma and after this prepare bed
17..03.2025,Vegetables cultivation,3-4 proper ploughing with Tricoderma and after this prepare bed
19.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
19.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
19.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
19.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
19.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
19.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
19.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
19.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
19.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
19.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
20.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
20.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
20.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
20.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
20.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
20.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
20.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
20.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
20.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
20.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
20.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
20.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
20.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
20.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
20.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
20.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
20.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
24.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
24.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
24.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
24.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
24.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
24.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
24.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
24.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
24.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
24.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
24.03.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
07.04.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
07.04.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
07.04.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
07.04.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
07.04.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
07.04.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
07.04.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
07.04.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
07.04.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
07.04.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
07.04.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
07.04.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water
09.04.2025,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed
09.04.2025,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed
15.04.2025,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed
16.04.2025,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed
16.04.2025,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed
17.04.2025,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed
22.04.2025,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed
23.04.2025,Fish culture ,Supply water and feed
23.04.2025,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed
24.04.2025,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed
24.04.2025,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed
